"出発地","バス停名","出発時","出発分","運賃"
"&#9733","一関駅前 10番のりば","12","35",""
"","大町通り",12,37,"170"
"","大町角",12,38,"170"
"","一関一校前",12,39,"170"
"","磐井橋",12,40,"170"
"","竹山",12,42,"170"
"","配志和神社前",12,43,"250"
"","山目一丁目",12,44,"250"
"","中里市民センター前",12,45,"250"
"","山目駅前",12,46,"320"
"","沢田入口",12,46,"320"
"","中里新町",12,47,"320"
"","大佐",12,48,"340"
"","川屋敷",12,49,"340"
"","佐野",12,50,"350"
"","祇園",12,51,"350"
"","毛越寺",12,53,"350"
"","平泉駅前",12,58,"350"
"","鈴沢",13,0,"370"
"","花館",13,1,"390"
"","中尊寺",13,2,"390"
"","衣川橋",13,4,"410"
"","瀬原",13,6,"440"
