"出発地","バス停名","出発時","出発分","運賃"
"&#9733","一関駅前 10番のりば","9","35",""
"","大町通り",9,37,"170"
"","大町角",9,38,"170"
"","一関一校前",9,39,"170"
"","磐井橋",9,40,"170"
"","竹山",9,42,"170"
"","配志和神社前",9,43,"250"
"","山目一丁目",9,44,"250"
"","中里市民センター前",9,45,"250"
"","山目駅前",9,46,"320"
"","沢田入口",9,46,"320"
"","中里新町",9,47,"320"
"","大佐",9,48,"340"
"","川屋敷",9,49,"340"
"","佐野",9,50,"350"
"","祇園",9,51,"350"
"","毛越寺",9,53,"350"
"","平泉駅前",9,55,"350"
"","鈴沢",9,57,"370"
"","花館",9,58,"390"
"","中尊寺",9,59,"390"
"","衣川橋",10,1,"410"
"","瀬原",10,3,"440"
