"出発地","バス停名","出発時","出発分","運賃"
"&#9733","一関駅前 10番のりば","10","25",""
"","大町通り",10,27,"170"
"","大町角",10,28,"170"
"","一関一校前",10,29,"170"
"","磐井橋",10,30,"170"
"","竹山",10,32,"170"
"","配志和神社前",10,33,"250"
"","山目一丁目",10,34,"250"
"","中里市民センター前",10,35,"250"
"","山目駅前",10,36,"320"
"","沢田入口",10,36,"320"
"","中里新町",10,37,"320"
"","大佐",10,38,"340"
"","川屋敷",10,39,"340"
"","佐野",10,40,"350"
"","祇園",10,41,"350"
"","毛越寺",10,43,"350"
"","平泉駅前",10,45,"350"
"","鈴沢",10,47,"370"
"","花館",10,48,"390"
"","中尊寺",10,49,"390"
"","衣川橋",10,51,"410"
"","瀬原",10,53,"440"
