"出発地","バス停名","出発時","出発分","運賃"
"&#9733","一関駅前 10番のりば","14","25",""
"","大町通り",14,27,"170"
"","大町角",14,28,"170"
"","一関一校前",14,29,"170"
"","磐井橋",14,30,"170"
"","竹山",14,32,"170"
"","配志和神社前",14,33,"250"
"","山目一丁目",14,34,"250"
"","中里市民センター前",14,35,"250"
"","山目駅前",14,36,"320"
"","沢田入口",14,36,"320"
"","中里新町",14,37,"320"
"","大佐",14,38,"340"
"","川屋敷",14,39,"340"
"","佐野",14,40,"350"
"","祇園",14,41,"350"
"","毛越寺",14,43,"350"
"","平泉駅前",14,45,"350"
"","鈴沢",14,47,"370"
"","花館",14,48,"390"
"","中尊寺",14,49,"390"
"","衣川橋",14,51,"410"
"","瀬原",14,53,"440"
